Data,Nr zamówienia,Kanał,Kategoria,Produkt,Ilość,Cena jedn. (zł),Przychód (zł),Prowizja (zł),Miasto,Status
2026-01-16,ZAM-10338,Allegro,Elektronika,Powerbank 20000mAh,1,139.00,139.00,15.99,Wrocław,Zwrot
2026-01-16,ZAM-10339,Allegro,Dom i biuro,Lampka LED na biurko,2,119.00,238.00,27.37,Katowice,Opłacone
2026-01-16,ZAM-10340,Sklep www,Elektronika,Słuchawki BT douszne,1,159.00,159.00,2.86,Poznań,Opłacone
2026-01-16,ZAM-10341,Allegro,Kuchnia,Deska do krojenia dębowa,1,99.00,99.00,11.38,Szczecin,Opłacone
2026-01-17,ZAM-10342,Sklep www,Kuchnia,Młynek do kawy ręczny,1,149.00,149.00,2.68,Katowice,Opłacone
2026-01-17,ZAM-10343,Sklep www,Dom i biuro,Lampka LED na biurko,1,119.00,107.10,1.93,Radom,Opłacone
2026-01-17,ZAM-10344,Sklep www,Akcesoria,Plecak miejski 20L,1,179.00,179.00,3.22,Szczecin,Opłacone
2026-01-17,ZAM-10345,Allegro,Akcesoria,Etui na klucze,1,49.00,49.00,5.64,Szczecin,Opłacone
2026-01-17,ZAM-10346,Allegro,Kuchnia,Kubek termiczny 450ml,1,69.00,62.10,7.14,Poznań,Opłacone
2026-01-17,ZAM-10347,Allegro,Elektronika,Powerbank 20000mAh,1,139.00,139.00,15.99,Łódź,Opłacone
2026-01-17,ZAM-10348,Sklep www,Kuchnia,Kubek termiczny 450ml,1,69.00,69.00,1.24,Szczecin,Opłacone
2026-01-18,ZAM-10349,Allegro,Kuchnia,Deska do krojenia dębowa,1,99.00,99.00,11.38,Poznań,Opłacone
2026-01-18,ZAM-10350,Allegro,Akcesoria,Portfel skórzany slim,1,129.00,129.00,14.84,Rzeszów,Opłacone
2026-01-18,ZAM-10351,Sklep www,Dom i biuro,Organizer biurkowy drewniany,1,79.00,79.00,1.42,Gdańsk,Opłacone
2026-01-18,ZAM-10352,Allegro,Kuchnia,Młynek do kawy ręczny,1,149.00,149.00,17.14,Rzeszów,Opłacone
2026-01-18,ZAM-10353,Allegro,Kuchnia,Młynek do kawy ręczny,1,149.00,149.00,17.14,Kraków,Opłacone
2026-01-18,ZAM-10354,Sklep www,Kuchnia,Młynek do kawy ręczny,1,149.00,149.00,2.68,Wrocław,Opłacone
2026-01-18,ZAM-10355,Allegro,Elektronika,Słuchawki BT douszne,1,159.00,143.10,16.46,Lublin,Opłacone
2026-01-18,ZAM-10356,Allegro,Dom i biuro,Lampka LED na biurko,1,119.00,119.00,13.69,Gdańsk,Opłacone
2026-01-18,ZAM-10357,Sklep www,Akcesoria,Etui na klucze,1,49.00,49.00,0.88,Gdańsk,Opłacone
2026-01-18,ZAM-10358,Allegro,Dom i biuro,Podkładka pod laptopa bambusowa,1,89.00,89.00,10.24,Warszawa,Opłacone
2026-01-19,ZAM-10359,Allegro,Dom i biuro,Podkładka pod laptopa bambusowa,1,89.00,80.10,9.21,Kraków,Opłacone
2026-01-19,ZAM-10360,Allegro,Akcesoria,Plecak miejski 20L,1,179.00,179.00,20.59,Wrocław,Opłacone
2026-01-19,ZAM-10361,Allegro,Elektronika,Powerbank 20000mAh,1,139.00,139.00,15.99,Lublin,Opłacone
2026-01-20,ZAM-10362,Allegro,Elektronika,Powerbank 20000mAh,1,139.00,139.00,15.99,Katowice,Opłacone
2026-01-20,ZAM-10363,Sklep www,Akcesoria,Portfel skórzany slim,1,129.00,129.00,2.32,Szczecin,Opłacone
2026-01-20,ZAM-10364,Allegro,Elektronika,Powerbank 20000mAh,1,139.00,139.00,15.99,Białystok,Opłacone
2026-01-20,ZAM-10365,Sklep www,Elektronika,Ładowarka bezprzewodowa,1,99.00,99.00,1.78,Wrocław,Opłacone
2026-01-20,ZAM-10366,Allegro,Akcesoria,Portfel skórzany slim,1,129.00,129.00,14.84,Gdańsk,Opłacone
2026-01-20,ZAM-10367,Allegro,Elektronika,Słuchawki BT douszne,1,159.00,159.00,18.29,Gdańsk,Opłacone
2026-01-21,ZAM-10368,Sklep www,Kuchnia,Kubek termiczny 450ml,1,69.00,69.00,1.24,Gdańsk,Opłacone
2026-01-21,ZAM-10369,Sklep www,Dom i biuro,Lampka LED na biurko,2,119.00,238.00,4.28,Szczecin,Opłacone
2026-01-21,ZAM-10370,Sklep www,Akcesoria,Portfel skórzany slim,1,129.00,129.00,2.32,Gdańsk,Opłacone
2026-01-22,ZAM-10371,Sklep www,Akcesoria,Portfel skórzany slim,1,129.00,116.10,2.09,Rzeszów,Opłacone
2026-01-22,ZAM-10372,Sklep www,Kuchnia,Deska do krojenia dębowa,1,99.00,99.00,1.78,Szczecin,Opłacone
2026-01-22,ZAM-10373,Allegro,Dom i biuro,Organizer biurkowy drewniany,1,79.00,79.00,9.09,Warszawa,Opłacone
2026-01-22,ZAM-10374,Allegro,Dom i biuro,Podkładka pod laptopa bambusowa,1,89.00,80.10,9.21,Wrocław,Zwrot
2026-01-22,ZAM-10375,Allegro,Akcesoria,Plecak miejski 20L,1,179.00,179.00,20.59,Łódź,Opłacone
2026-01-23,ZAM-10376,Sklep www,Dom i biuro,Podkładka pod laptopa bambusowa,1,89.00,89.00,1.60,Katowice,Opłacone
2026-01-23,ZAM-10377,Sklep www,Akcesoria,Etui na klucze,1,49.00,49.00,0.88,Kraków,Zwrot
2026-01-23,ZAM-10378,Allegro,Akcesoria,Plecak miejski 20L,2,179.00,358.00,41.17,Lublin,Opłacone
2026-01-23,ZAM-10379,Sklep www,Dom i biuro,Organizer biurkowy drewniany,1,79.00,79.00,1.42,Białystok,Opłacone
2026-01-23,ZAM-10380,Sklep www,Dom i biuro,Organizer biurkowy drewniany,1,79.00,71.10,1.28,Radom,Opłacone
2026-01-23,ZAM-10381,Sklep www,Akcesoria,Portfel skórzany slim,3,129.00,387.00,6.97,Poznań,Opłacone
2026-01-23,ZAM-10382,Allegro,Kuchnia,Deska do krojenia dębowa,1,99.00,99.00,11.38,Kraków,Opłacone
2026-01-24,ZAM-10383,Allegro,Dom i biuro,Lampka LED na biurko,1,119.00,107.10,12.32,Gdańsk,Opłacone
2026-01-24,ZAM-10384,Sklep www,Kuchnia,Deska do krojenia dębowa,1,99.00,99.00,1.78,Radom,Opłacone
2026-01-24,ZAM-10385,Sklep www,Akcesoria,Plecak miejski 20L,1,179.00,179.00,3.22,Wrocław,Opłacone
2026-01-24,ZAM-10386,Allegro,Kuchnia,Deska do krojenia dębowa,2,99.00,198.00,22.77,Lublin,Opłacone
2026-01-24,ZAM-10387,Sklep www,Dom i biuro,Organizer biurkowy drewniany,1,79.00,79.00,1.42,Białystok,Opłacone
2026-01-24,ZAM-10388,Sklep www,Dom i biuro,Podkładka pod laptopa bambusowa,1,89.00,89.00,1.60,Lublin,Opłacone
2026-01-24,ZAM-10389,Allegro,Kuchnia,Młynek do kawy ręczny,3,149.00,447.00,51.41,Katowice,Opłacone
2026-01-24,ZAM-10390,Sklep www,Akcesoria,Plecak miejski 20L,1,179.00,179.00,3.22,Katowice,Opłacone
2026-01-24,ZAM-10391,Allegro,Elektronika,Ładowarka bezprzewodowa,1,99.00,99.00,11.38,Warszawa,Opłacone
2026-01-25,ZAM-10392,Allegro,Dom i biuro,Lampka LED na biurko,1,119.00,119.00,13.69,Radom,Opłacone
2026-01-25,ZAM-10393,Sklep www,Dom i biuro,Podkładka pod laptopa bambusowa,1,89.00,89.00,1.60,Radom,Opłacone
2026-01-25,ZAM-10394,Sklep www,Kuchnia,Deska do krojenia dębowa,1,99.00,99.00,1.78,Łódź,Opłacone
2026-01-25,ZAM-10395,Sklep www,Akcesoria,Etui na klucze,1,49.00,49.00,0.88,Radom,Opłacone
2026-01-25,ZAM-10396,Allegro,Dom i biuro,Organizer biurkowy drewniany,1,79.00,79.00,9.09,Gdańsk,Zwrot
2026-01-25,ZAM-10397,Sklep www,Elektronika,Słuchawki BT douszne,3,159.00,477.00,8.59,Rzeszów,Opłacone
2026-01-25,ZAM-10398,Sklep www,Akcesoria,Portfel skórzany slim,1,129.00,129.00,2.32,Łódź,Opłacone
2026-01-25,ZAM-10399,Sklep www,Kuchnia,Deska do krojenia dębowa,1,99.00,99.00,1.78,Katowice,Opłacone
2026-01-25,ZAM-10400,Sklep www,Dom i biuro,Podkładka pod laptopa bambusowa,1,89.00,80.10,1.44,Szczecin,Opłacone
2026-01-25,ZAM-10401,Allegro,Akcesoria,Portfel skórzany slim,1,129.00,129.00,14.84,Gdańsk,Opłacone
2026-01-26,ZAM-10402,Sklep www,Elektronika,Ładowarka bezprzewodowa,2,99.00,178.20,3.21,Białystok,Opłacone
2026-01-26,ZAM-10403,Sklep www,Dom i biuro,Lampka LED na biurko,1,119.00,119.00,2.14,Białystok,Zwrot
2026-01-26,ZAM-10404,Sklep www,Elektronika,Słuchawki BT douszne,2,159.00,318.00,5.72,Katowice,Opłacone
2026-01-26,ZAM-10405,Sklep www,Dom i biuro,Lampka LED na biurko,1,119.00,119.00,2.14,Rzeszów,Opłacone
2026-01-26,ZAM-10406,Sklep www,Elektronika,Ładowarka bezprzewodowa,1,99.00,89.10,1.60,Rzeszów,Zwrot
2026-01-27,ZAM-10407,Allegro,Kuchnia,Deska do krojenia dębowa,1,99.00,99.00,11.38,Poznań,Opłacone
2026-01-27,ZAM-10408,Sklep www,Elektronika,Powerbank 20000mAh,1,139.00,139.00,2.50,Białystok,Opłacone
2026-01-27,ZAM-10409,Sklep www,Elektronika,Ładowarka bezprzewodowa,1,99.00,99.00,1.78,Radom,Opłacone
2026-01-27,ZAM-10410,Allegro,Kuchnia,Młynek do kawy ręczny,1,149.00,149.00,17.14,Rzeszów,Opłacone
2026-01-27,ZAM-10411,Sklep www,Kuchnia,Kubek termiczny 450ml,1,69.00,62.10,1.12,Lublin,Opłacone
2026-01-27,ZAM-10412,Allegro,Kuchnia,Deska do krojenia dębowa,1,99.00,99.00,11.38,Radom,Zwrot
2026-01-27,ZAM-10413,Allegro,Kuchnia,Deska do krojenia dębowa,1,99.00,99.00,11.38,Kraków,Opłacone
2026-01-27,ZAM-10414,Allegro,Kuchnia,Kubek termiczny 450ml,1,69.00,62.10,7.14,Lublin,Opłacone
2026-01-28,ZAM-10415,Sklep www,Akcesoria,Plecak miejski 20L,1,179.00,179.00,3.22,Białystok,Opłacone
2026-01-28,ZAM-10416,Allegro,Kuchnia,Deska do krojenia dębowa,2,99.00,178.20,20.49,Kraków,Opłacone
2026-01-28,ZAM-10417,Sklep www,Akcesoria,Portfel skórzany slim,2,129.00,258.00,4.64,Szczecin,Opłacone
2026-01-28,ZAM-10418,Allegro,Dom i biuro,Lampka LED na biurko,1,119.00,119.00,13.69,Białystok,Opłacone
2026-01-29,ZAM-10419,Allegro,Kuchnia,Deska do krojenia dębowa,1,99.00,99.00,11.38,Lublin,Opłacone
2026-01-29,ZAM-10420,Sklep www,Akcesoria,Portfel skórzany slim,2,129.00,258.00,4.64,Lublin,Opłacone
2026-01-29,ZAM-10421,Allegro,Elektronika,Słuchawki BT douszne,2,159.00,318.00,36.57,Radom,Opłacone
2026-01-29,ZAM-10422,Sklep www,Kuchnia,Deska do krojenia dębowa,1,99.00,99.00,1.78,Poznań,Opłacone
2026-01-29,ZAM-10423,Allegro,Dom i biuro,Lampka LED na biurko,1,119.00,107.10,12.32,Białystok,Opłacone
2026-01-29,ZAM-10424,Sklep www,Akcesoria,Plecak miejski 20L,3,179.00,483.30,8.70,Radom,Opłacone
2026-01-29,ZAM-10425,Allegro,Kuchnia,Kubek termiczny 450ml,1,69.00,69.00,7.94,Łódź,Opłacone
2026-01-29,ZAM-10426,Allegro,Dom i biuro,Podkładka pod laptopa bambusowa,1,89.00,89.00,10.24,Lublin,Opłacone
2026-01-29,ZAM-10427,Allegro,Kuchnia,Kubek termiczny 450ml,1,69.00,69.00,7.94,Szczecin,Opłacone
2026-01-29,ZAM-10428,Allegro,Dom i biuro,Podkładka pod laptopa bambusowa,1,89.00,89.00,10.24,Kraków,Opłacone
2026-01-29,ZAM-10429,Sklep www,Dom i biuro,Organizer biurkowy drewniany,1,79.00,79.00,1.42,Szczecin,Opłacone
2026-01-30,ZAM-10430,Sklep www,Dom i biuro,Podkładka pod laptopa bambusowa,1,89.00,89.00,1.60,Kraków,Opłacone
2026-01-30,ZAM-10431,Sklep www,Akcesoria,Portfel skórzany slim,1,129.00,129.00,2.32,Radom,Opłacone
2026-01-30,ZAM-10432,Sklep www,Elektronika,Powerbank 20000mAh,2,139.00,250.20,4.50,Lublin,Opłacone
2026-01-30,ZAM-10433,Allegro,Elektronika,Ładowarka bezprzewodowa,1,99.00,99.00,11.38,Katowice,Opłacone
2026-01-30,ZAM-10434,Allegro,Dom i biuro,Lampka LED na biurko,2,119.00,238.00,27.37,Kraków,Opłacone
2026-01-30,ZAM-10435,Sklep www,Dom i biuro,Podkładka pod laptopa bambusowa,1,89.00,89.00,1.60,Lublin,Opłacone
2026-01-30,ZAM-10436,Allegro,Akcesoria,Plecak miejski 20L,1,179.00,179.00,20.59,Szczecin,Opłacone
2026-01-30,ZAM-10437,Sklep www,Elektronika,Słuchawki BT douszne,1,159.00,143.10,2.58,Lublin,Opłacone
2026-01-30,ZAM-10438,Sklep www,Kuchnia,Kubek termiczny 450ml,2,69.00,138.00,2.48,Radom,Opłacone
2026-01-30,ZAM-10439,Sklep www,Elektronika,Słuchawki BT douszne,1,159.00,159.00,2.86,Łódź,Opłacone
2026-01-30,ZAM-10440,Allegro,Elektronika,Ładowarka bezprzewodowa,1,99.00,99.00,11.38,Kraków,Opłacone
2026-01-31,ZAM-10441,Allegro,Dom i biuro,Podkładka pod laptopa bambusowa,1,89.00,89.00,10.24,Łódź,Opłacone
2026-01-31,ZAM-10442,Sklep www,Akcesoria,Plecak miejski 20L,1,179.00,179.00,3.22,Rzeszów,Opłacone
2026-01-31,ZAM-10443,Allegro,Kuchnia,Deska do krojenia dębowa,1,99.00,99.00,11.38,Poznań,Opłacone
2026-01-31,ZAM-10444,Sklep www,Akcesoria,Portfel skórzany slim,1,129.00,129.00,2.32,Łódź,Opłacone
2026-01-31,ZAM-10445,Allegro,Kuchnia,Deska do krojenia dębowa,2,99.00,198.00,22.77,Szczecin,Opłacone
2026-01-31,ZAM-10446,Allegro,Elektronika,Ładowarka bezprzewodowa,1,99.00,99.00,11.38,Rzeszów,Opłacone
2026-01-31,ZAM-10447,Sklep www,Dom i biuro,Podkładka pod laptopa bambusowa,1,89.00,80.10,1.44,Łódź,Opłacone
2026-01-31,ZAM-10448,Allegro,Dom i biuro,Podkładka pod laptopa bambusowa,1,89.00,89.00,10.24,Białystok,Zwrot
2026-02-01,ZAM-10449,Allegro,Dom i biuro,Lampka LED na biurko,1,119.00,119.00,13.69,Łódź,Opłacone
2026-02-01,ZAM-10450,Allegro,Kuchnia,Deska do krojenia dębowa,1,99.00,99.00,11.38,Kraków,Opłacone
2026-02-01,ZAM-10451,Sklep www,Dom i biuro,Podkładka pod laptopa bambusowa,1,89.00,89.00,1.60,Gdańsk,Opłacone
